Split ID,train %,RMSE_test,MRE_test,RMSE_elements,MRE_elements
4.0,85.0,0.2250813045909871,108.65375183040008,0.8193935546332329,749.535687320366
4.0,90.0,0.24677832772209804,107.73668939892954,0.792532794677553,334.5613216172006
4.0,95.0,0.264242739330124,94.27701873440573,0.7525677482450278,501.17064612992607
4.0,100.0,0.23349470790342824,96.56466076370994,0.7644085756396306,411.5173505131351
5.0,10.0,1.0972111661027584,327.9219607580819,0.9712945502095544,520.724860486244
5.0,15.0,2.3175813136939287,648.7647065204934,1.3465978496041526,614.7463700981909
5.0,20.0,0.9199138749836846,336.4430125694297,0.782720502353106,513.9401824813494
5.0,25.0,1.189151534068932,212.27543833423462,0.6925023728625868,404.38786374822615
5.0,30.0,0.9056346634919064,327.85514972446134,0.7092919246868048,253.36974576781867
5.0,35.0,1.1372055080063428,243.999086428669,0.7281436748463868,326.94495650770426
5.0,40.0,0.7161038847771228,189.73356671204243,0.7081073607106829,339.34786803710807
5.0,45.0,0.8708254210800469,281.0929825711653,0.874687764733955,470.24940455514974
5.0,50.0,0.8775289135150105,165.08053631244528,0.796762670399515,488.4285077839346
5.0,55.0,0.9727697174623865,214.7084405109505,0.7847594868492094,316.85563325243913
5.0,60.0,0.9147722752977191,206.94909868552796,0.7565139729891004,544.4089490429354
5.0,65.0,0.7680594492463715,120.2856172033458,0.740476251971947,313.49692996488466
5.0,70.0,0.8893255738183028,254.18087528675372,0.7921869981727776,827.4851253500276
5.0,75.0,0.6907304489238685,157.50267514016164,0.7604230336333444,366.7270197835157
5.0,80.0,0.7138377808673093,160.514201685796,0.7523363095275597,621.5809904631865
5.0,85.0,0.8160976545071774,187.92228797819396,0.8122157251438277,600.845111459963
5.0,90.0,0.6789522979571444,153.47464863273464,0.7747362881932262,510.69975940658003
5.0,95.0,0.6824365359027806,145.46043755778905,0.7599173644978114,574.6211373874456
5.0,100.0,0.6700157414008253,144.72496766242017,0.7799335339925613,549.5459188264618
6.0,10.0,1.6641319717906484,556.5947925635301,1.2771288968697694,481.1997575515345
6.0,15.0,0.7646359609160261,306.06331018563054,0.9678372918842965,603.9311507346179
6.0,20.0,1.3041224519087198,227.85694088081937,0.9465237799166594,393.54841698502486
6.0,25.0,0.6366652978020593,173.47037379700382,0.7671162914558854,346.924003654323
6.0,30.0,1.1595117531569652,233.62940955762366,0.6885261906146402,726.4496145816339
6.0,35.0,0.7965565652132947,105.92738197439888,0.797109380365193,270.93904076617486
6.0,40.0,0.48596190096305514,113.63439112110204,0.7836601184336219,495.7600955233791
