Element,Wavelength,Z number,1s,2s,2p,3s,3p,3d,4s,4p,4d,4f,5s,5p,5d,6s,6p,Multiplicity,Term,Parity,J,E lower,1s,2s,2p,3s,3p,3d,4s,4p,4d,4f,5s,5p,5d,6s,6p,6d,7s,7p,7d,8s,8p,8d,9s,10s,Multiplicity,Term,Parity,J,E upper,T,w (A),d (A),
B,208.957,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,P,0,1.5,15.287,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,D,1,2.5,47856.809,45000,0.064545455,,
B,249.773,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,P,0,1.5,15.287,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,S,1,0.5,40039.6907,50000,0.038554217,,
Br,444.174,35,2,2,6,2,6,10,2,4,0,0,1,0,0,0,0,4,P,1,2.5,63436.45,2,2,6,2,6,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,D,0,1.5,85943.86,10750,2.8,1.155555556,
Br,444.174,35,2,2,6,2,6,10,2,4,0,0,1,0,0,0,0,4,P,1,2.5,63436.45,2,2,6,2,6,10,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,D,0,1.5,85943.86,11530,2.428571429,1.7,
Br,447.772,35,2,2,6,2,6,10,2,4,0,0,1,0,0,0,0,4,P,1,2.5,63436.45,2,2,6,2,6,10,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,D,0,3.5,85762.98,10750,3.311111111,1.733333333,
Br,447.772,35,2,2,6,2,6,10,2,4,0,0,1,0,0,0,0,4,P,1,2.5,63436.45,2,2,6,2,6,10,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,D,0,3.5,85762.98,11530,3.314285714,2.142857143,
Br,447.261,35,2,2,6,2,6,10,2,4,0,0,1,0,0,0,0,4,P,1,1.5,64907.19,2,2,6,2,6,10,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,P,0,1.5,87259.29,10570,2.911111111,1.444444444,
Br,447.261,35,2,2,6,2,6,10,2,4,0,0,1,0,0,0,0,4,P,1,1.5,64907.19,2,2,6,2,6,10,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,P,0,1.5,87259.29,11530,2.857142857,1.9,
Br,793.868,35,2,2,6,2,6,10,2,4,0,0,1,0,0,0,0,2,D,1,2.5,75890.33,2,2,6,2,6,10,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,D,0,2.5,88483.42,9600,3.5,,
C,165.701,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,P,1,2,43.4134567,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,P,0,2,60393.1693,12500,0.042,,
C,165.738,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,P,1,1,16.416713,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,P,0,1,60352.6584,12500,0.042,,
C,165.693,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,P,1,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,P,0,1,60352.6584,12500,0.042,,
C,156.068,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,P,1,1,16.416713,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,D,0,2,64090.99351,12500,0.0047,,
C,156.134,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,P,1,2,43.4134567,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,D,0,2,64090.99351,12500,0.0047,,
C,156.071,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,P,1,1,16.416713,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,D,0,1,64089.899,12500,0.0047,,
C,132.912,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,P,1,1,16.416713,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,P,0,1,75254.0017,12500,0.039,,
C,132.909,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,P,1,1,16.416713,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,P,0,0,75256.1696,12500,0.039,,
C,132.91,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,P,1,1,16.416713,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,P,0,2,75255.29937,12500,0.039,,
C,127.755,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,P,1,2,43.4134567,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,D,0,3,78318.26602,12500,0.115,,
C,127.772,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,P,1,2,43.4134567,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,D,0,2,78307.64625,12500,0.115,,
C,127.751,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,P,1,1,16.416713,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,D,0,1,78293.51263,12500,0.115,,
C,127.648,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,P,1,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P,0,1,78340.29782,12500,0.113,,
C,127.675,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,P,1,1,16.416713,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P,0,1,78340.29782,12500,0.113,,
C,126.1,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,P,1,1,16.416713,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,P,0,1,79318.8093,12500,0.107,,
C,126.093,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,P,1,1,16.416713,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,P,0,0,79323.1883,12500,0.107,,
C,126.112,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,P,1,1,16.416713,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,P,0,2,79310.86822,12500,0.107,,
C,193.09,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,D,1,2,10192.657,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P,0,1,61981.8321,12500,0.059,,Разное отнесение в nIST и Konjevic2002
